Date,Open,High,Low,Close,Adj Close,Volume
2006-06-21,2.280313,2.281250,2.254688,2.257813,1.975239,761600
2006-06-22,2.250000,2.254063,2.180625,2.204688,1.928763,6806400
2006-06-23,2.195313,2.236250,2.171250,2.198125,1.923021,1705600
2006-06-26,2.203125,2.218750,2.187500,2.206250,1.930130,1811200
2006-06-27,2.209375,2.209375,2.123750,2.123750,1.857954,3196800
2006-06-28,2.132813,2.154375,2.106875,2.149688,1.880647,3187200
2006-06-29,2.176563,2.279688,2.166563,2.279688,1.994376,5644800
2006-06-30,2.296875,2.296875,2.255625,2.257813,1.975239,7584000
2006-07-03,2.275000,2.285938,2.270625,2.284063,1.998204,1190400
2006-07-05,2.242188,2.243125,2.187813,2.194063,1.919468,4950400
2006-07-06,2.204688,2.221875,2.173438,2.181250,1.908258,2684800
2006-07-07,2.142188,2.184375,2.120313,2.133438,1.866430,2294400
2006-07-10,2.153125,2.161563,2.079375,2.098125,1.835537,3993600
2006-07-11,2.082500,2.138438,2.067500,2.132500,1.865610,5302400
2006-07-12,2.119375,2.125000,2.037500,2.048125,1.791795,7299200
2006-07-13,2.057813,2.057813,1.978125,1.982813,1.734656,13372800
2006-07-14,1.975000,1.979688,1.921875,1.942188,1.699116,6928000
2006-07-17,1.957813,1.968750,1.926250,1.951563,1.707318,4934400
2006-07-18,1.968750,1.975000,1.896875,1.962500,1.716886,13027200
2006-07-19,1.957813,2.033438,1.956563,2.005000,1.754067,8470400
2006-07-20,2.028125,2.028125,1.948438,1.950313,1.706224,6009600
2006-07-21,1.916563,1.937500,1.903750,1.906250,1.667676,9315200
2006-07-24,1.921563,1.983125,1.921563,1.976563,1.729189,7667200
2006-07-25,1.985938,2.018750,1.961563,1.995938,1.746139,10841600
2006-07-26,1.987500,2.030938,1.962500,2.000000,1.749693,11750400
2006-07-27,2.042188,2.046875,1.962500,1.979688,1.731923,6019200
2006-07-28,2.001563,2.058750,1.989063,2.058750,1.801090,3376000
2006-07-31,2.043750,2.076563,2.029688,2.054688,1.797536,4979200
2006-08-01,2.017188,2.017188,1.962500,1.984375,1.736023,7804800
2006-08-02,2.007813,2.053125,2.003125,2.020938,1.768010,6969600
2006-08-03,1.985938,2.075000,1.984375,2.054688,1.797536,9980800
2006-08-04,2.092813,2.109375,1.997188,2.035938,1.781133,9408000
2006-08-07,2.021875,2.029688,1.992188,2.011250,1.759534,8508800
2006-08-08,2.018750,2.031250,1.965625,1.985938,1.737391,14419200
2006-08-09,2.012813,2.068750,1.978125,1.985000,1.736570,14412800
2006-08-10,1.986563,2.025625,1.965625,2.010313,1.758715,11641600
2006-08-11,1.990625,2.001563,1.970313,1.990625,1.741491,6652800
2006-08-14,2.015313,2.062500,2.003750,2.008750,1.757348,9660800
2006-08-15,2.074688,2.140625,2.046563,2.113438,1.848933,11027200
2006-08-16,2.140625,2.216250,2.128125,2.214063,1.936965,15520000
2006-08-17,2.217188,2.259375,2.200000,2.228125,1.949267,22172800
2006-08-18,2.220313,2.235625,2.179688,2.225000,1.946532,8467200
2006-08-21,2.188750,2.205938,2.173438,2.184375,1.910992,8137600
2006-08-22,2.207188,2.233750,2.171563,2.190000,1.915913,8134400
2006-08-23,2.195625,2.217500,2.137500,2.153125,1.883654,9299200
2006-08-24,2.178125,2.179688,2.134375,2.169688,1.898144,9216000
2006-08-25,2.146875,2.212188,2.146875,2.178125,1.905525,7628800
2006-08-28,2.171875,2.221875,2.171875,2.209375,1.932863,8294400
2006-08-29,2.206250,2.226563,2.161563,2.223438,1.945167,13308800
2006-08-30,2.225625,2.245313,2.206250,2.243125,1.962390,11292800
2006-08-31,2.242188,2.254375,2.226563,2.240625,1.960203,4697600
2006-09-01,2.271875,2.273438,2.240313,2.260938,1.977973,9248000
2006-09-05,2.263750,2.305313,2.231250,2.301563,2.013515,10726400
2006-09-06,2.259375,2.271250,2.203125,2.211875,1.935050,11699200
2006-09-07,2.200000,2.235313,2.175000,2.192188,1.917828,13513600
2006-09-08,2.203125,2.227813,2.187500,2.214063,1.936965,6995200
2006-09-11,2.182188,2.264688,2.168750,2.243750,1.962936,13331200
2006-09-12,2.251563,2.343125,2.246875,2.330938,2.039213,9513600
2006-09-13,2.337500,2.364063,2.317188,2.357813,2.062723,11289600
2006-09-14,2.335625,2.370000,2.335625,2.355313,2.060537,7593600
2006-09-15,2.410938,2.550938,2.364688,2.378125,2.080494,7945600
2006-09-18,2.382813,2.409688,2.353125,2.376250,2.078853,6592000
2006-09-19,2.375000,2.384375,2.308750,2.347500,2.053701,10406400
2006-09-20,2.399375,2.429688,2.386563,2.417188,2.114667,10892800
2006-09-21,2.431250,2.442188,2.375000,2.385938,2.087328,25488000
2006-09-22,2.378125,2.378125,2.328125,2.344688,2.051242,9107200
2006-09-25,2.371250,2.437500,2.325938,2.431250,2.126970,18835200
2006-09-26,2.425000,2.457813,2.410313,2.451250,2.144468,12467200
2006-09-27,2.447500,2.469688,2.417188,2.438750,2.133531,13964800
2006-09-28,2.458750,2.464063,2.407500,2.453125,2.146107,7222400
2006-09-29,2.465625,2.466563,2.431250,2.434375,2.129704,6236800
2006-10-02,2.423438,2.439375,2.364375,2.375000,2.077760,11411200
2006-10-03,2.353125,2.410938,2.338750,2.391875,2.092523,10182400
2006-10-04,2.387500,2.507813,2.372188,2.501563,2.188483,13603200
2006-10-05,2.507813,2.539063,2.495625,2.534375,2.217188,10790400
2006-10-06,2.504063,2.539063,2.500938,2.520313,2.204886,10883200
2006-10-09,2.519063,2.559375,2.509375,2.532813,2.215822,6108800
2006-10-10,2.540625,2.560938,2.508438,2.546875,2.228124,8355200
2006-10-11,2.518750,2.568750,2.480938,2.537500,2.219922,11667200
2006-10-12,2.565625,2.621875,2.555938,2.621875,2.293737,13142400
2006-10-13,2.621875,2.654688,2.607813,2.641875,2.311234,10841600
2006-10-16,2.648438,2.667188,2.641250,2.646875,2.315609,8934400
2006-10-17,2.623125,2.623125,2.559375,2.595313,2.270500,17644800
2006-10-18,2.624063,2.626875,2.545000,2.559375,2.239060,18384000
2006-10-19,2.547500,2.601563,2.537500,2.581250,2.258196,18044800
2006-10-20,2.583438,2.587813,2.545625,2.587500,2.263665,10848000
2006-10-23,2.568750,2.657500,2.565625,2.633750,2.304126,17289600
