Date,Open,High,Low,Close,Adj Close,Volume
2008-11-05,4.811667,4.899167,4.176667,4.250000,3.333489,229200
2008-11-06,4.150000,4.197500,3.552500,3.600000,2.823661,4332000
2008-11-07,3.707500,3.887500,3.611667,3.854167,3.023016,6978000
2008-11-10,4.150000,4.161667,3.584167,3.704167,2.905364,5785200
2008-11-11,3.541667,3.687500,3.291667,3.459167,2.713199,11479200
2008-11-12,3.327500,3.327500,3.017500,3.074167,2.411224,13312800
2008-11-13,3.051667,3.533333,2.564167,3.518333,2.759606,32067600
2008-11-14,3.270833,3.583333,3.041667,3.067500,2.405995,34303200
2008-11-17,2.956667,3.170833,2.833333,2.850833,2.236052,44524800
2008-11-18,2.836667,2.995000,2.595833,2.876667,2.256315,61130400
2008-11-19,2.875000,2.970833,2.366667,2.413333,1.892898,75193200
2008-11-20,2.324167,2.497500,1.846667,1.996667,1.566086,137044800
2008-11-21,2.266667,2.270000,1.805833,2.222500,1.743219,124576800
2008-11-24,2.371667,2.797500,2.316667,2.597500,2.037351,98185200
2008-11-25,2.834167,2.845833,2.525000,2.742500,2.151081,80054400
2008-11-26,2.587500,3.045000,2.575833,3.028333,2.375274,61237200
2008-11-28,2.991667,3.125000,2.979167,3.118333,2.445865,21645600
2008-12-01,2.872500,2.881667,2.281667,2.308333,1.810542,101854800
2008-12-02,2.423333,2.573333,2.310000,2.552500,2.002055,109262400
2008-12-03,2.388333,2.786667,2.366667,2.744167,2.152388,136166400
2008-12-04,2.645833,2.825833,2.403333,2.525000,1.980484,109459200
2008-12-05,2.415000,2.816667,2.283333,2.781667,2.181801,167187600
2008-12-08,3.033333,3.206667,2.974167,3.091667,2.424950,142784400
2008-12-09,3.012500,3.204167,2.879167,2.917500,2.288343,126266400
2008-12-10,3.018333,3.119167,2.895833,3.009167,2.360241,125726400
2008-12-11,2.954167,3.097500,2.721667,2.786667,2.185723,113610000
2008-12-12,2.543333,2.885000,2.516667,2.860833,2.243895,142026000
2008-12-15,2.903333,2.916667,2.630833,2.738333,2.147813,91215600
2008-12-16,2.819167,3.157500,2.810833,3.155833,2.475279,121978800
2008-12-17,3.050833,3.229167,2.984167,3.075000,2.416088,118600800
2008-12-18,3.119167,3.140833,2.796667,2.905000,2.282516,94359600
2008-12-19,2.942500,3.075833,2.858333,2.899167,2.277933,97183200
2008-12-22,2.910000,2.916667,2.603333,2.766667,2.173825,76341600
2008-12-23,2.798333,2.835833,2.648333,2.679167,2.105074,68952000
2008-12-24,2.713333,2.736667,2.656667,2.710833,2.129955,17952000
2008-12-26,2.772500,2.778333,2.705000,2.767500,2.174479,19194000
2008-12-29,2.787500,2.787500,2.620000,2.750000,2.160729,46562400
2008-12-30,2.795833,2.935833,2.754167,2.932500,2.304123,57126000
2008-12-31,2.944167,3.128333,2.926667,3.032500,2.382694,65361600
2009-01-02,3.090000,3.385000,3.025000,3.329167,2.615792,87174000
2009-01-05,3.291667,3.428333,3.224167,3.329167,2.615792,111709200
2009-01-06,3.419167,3.508333,3.322500,3.410000,2.679304,119607600
2009-01-07,3.230833,3.280833,3.045833,3.123333,2.454064,116395200
2009-01-08,3.051667,3.155000,3.009167,3.155000,2.478945,104341200
2009-01-09,3.175833,3.185833,2.925000,2.947500,2.315909,114417600
2009-01-12,2.919167,2.928333,2.679167,2.733333,2.147634,85770000
2009-01-13,2.703333,2.808333,2.661667,2.744167,2.156146,123522000
2009-01-14,2.607500,2.622500,2.430000,2.475833,1.945310,158102400
2009-01-15,2.460000,2.576667,2.256667,2.508333,1.970847,200223600
2009-01-16,2.631667,2.641667,2.385000,2.558333,2.010133,209690400
2009-01-20,2.484167,2.505000,2.144167,2.162500,1.699118,207566400
2009-01-21,2.263333,2.435000,2.141667,2.424167,1.904716,180774000
2009-01-22,2.285000,2.421667,2.175833,2.302500,1.809120,200959200
2009-01-23,2.145000,2.415000,2.125000,2.345000,1.842513,213451200
2009-01-26,2.387500,2.536667,2.315833,2.370833,1.862810,203494800
