Date,Open,High,Low,Close,Adj Close,Volume
2006-06-21,8.860000,8.976250,8.852500,8.937500,7.460262,2218400
2006-06-22,8.885000,8.885000,8.782500,8.842500,7.380968,1092800
2006-06-23,8.790000,8.922500,8.766250,8.841250,7.379924,356800
2006-06-26,8.843750,8.896250,8.813750,8.892500,7.422700,301600
2006-06-27,8.921250,8.921250,8.735000,8.735000,7.291231,917600
2006-06-28,8.761250,8.837500,8.712500,8.812500,7.355926,340800
2006-06-29,8.937500,9.186250,8.923750,9.186250,7.667901,534400
2006-06-30,9.251250,9.262500,9.181250,9.181250,7.663726,724800
2006-07-03,9.231250,9.306250,9.220000,9.306250,7.768063,227200
2006-07-05,9.206250,9.221250,9.111250,9.182500,7.664768,592000
2006-07-06,9.212500,9.276250,9.182500,9.211250,7.688767,932800
2006-07-07,9.143750,9.222500,9.060000,9.105000,7.600078,568800
2006-07-10,9.181250,9.216250,9.087500,9.121250,7.613642,576000
2006-07-11,9.081250,9.205000,9.008750,9.198750,7.678334,1540000
2006-07-12,9.188750,9.192500,8.980000,9.017500,7.527043,1025600
2006-07-13,8.896250,8.940000,8.738750,8.745000,7.299581,1390400
2006-07-14,8.717500,8.743750,8.562500,8.666250,7.233847,1208800
2006-07-17,8.678750,8.725000,8.600000,8.657500,7.226543,455200
2006-07-18,8.718750,8.831250,8.513750,8.671250,7.238019,1639200
2006-07-19,8.750000,9.025000,8.748750,8.968750,7.486350,1752000
2006-07-20,9.050000,9.062500,8.843750,8.863750,7.398702,922400
2006-07-21,8.787500,8.826250,8.688750,8.723750,7.281843,1027200
2006-07-24,8.808750,9.017500,8.808750,9.000000,7.512430,1067200
2006-07-25,8.982500,9.161250,8.941250,9.113750,7.607381,1371200
2006-07-26,9.055000,9.192500,9.017500,9.131250,7.621991,1105600
2006-07-27,9.198750,9.225000,9.007500,9.043750,7.548950,1432000
2006-07-28,9.088750,9.282500,9.082500,9.250000,7.721117,903200
2006-07-31,9.250000,9.250000,9.190000,9.225000,7.700246,454400
2006-08-01,9.125000,9.193750,9.056250,9.142500,7.631381,418400
