Date,Open,High,Low,Close,Adj Close,Volume
2009-06-25,1.126250,1.210417,1.126250,1.205556,1.160613,2577600
2009-06-26,1.195278,1.213056,1.177361,1.199306,1.154596,13104000
2009-06-29,1.208333,1.236111,1.191389,1.233333,1.187355,8690400
2009-06-30,1.233333,1.243333,1.176389,1.203889,1.159008,17128800
2009-07-01,1.218472,1.252917,1.213611,1.216806,1.171444,12038400
2009-07-02,1.169306,1.169861,1.115972,1.116389,1.074770,29275200
2009-07-06,1.085556,1.120694,1.074306,1.119444,1.077711,22572000
2009-07-07,1.114028,1.116806,1.049722,1.049722,1.010588,29016000
2009-07-08,1.070139,1.076528,1.013889,1.050972,1.011792,49824000
2009-07-09,1.069444,1.081667,1.046250,1.057500,1.018077,45892800
2009-07-10,1.038611,1.065694,1.026389,1.047361,1.008316,51199200
2009-07-13,1.060000,1.125694,1.035000,1.123889,1.081990,43675200
2009-07-14,1.135278,1.146944,1.110278,1.146944,1.104186,38700000
2009-07-15,1.189028,1.252361,1.184444,1.245000,1.198587,36921600
2009-07-16,1.232500,1.292500,1.226250,1.278333,1.230677,46396800
2009-07-17,1.274583,1.284722,1.254028,1.276111,1.228538,27374400
2009-07-20,1.301944,1.325139,1.281250,1.314861,1.265843,37195200
2009-07-21,1.348889,1.351250,1.289167,1.336667,1.286836,45237600
2009-07-22,1.310833,1.359583,1.308611,1.334167,1.284430,37634400
2009-07-23,1.338194,1.441667,1.337083,1.422778,1.369737,55022400
2009-07-24,1.400000,1.444028,1.381528,1.441389,1.387655,60127200
2009-07-27,1.436944,1.456667,1.410694,1.453611,1.399420,44935200
2009-07-28,1.424028,1.455000,1.397639,1.441250,1.387520,46476000
2009-07-29,1.413611,1.435556,1.394167,1.422083,1.369068,55908000
2009-07-30,1.476528,1.517639,1.464861,1.466528,1.411856,55886400
2009-07-31,1.468056,1.503611,1.454861,1.470833,1.416000,54871200
2009-08-03,1.522917,1.550417,1.496944,1.544861,1.487269,39600000
2009-08-04,1.525972,1.565278,1.516944,1.559722,1.501576,34984800
2009-08-05,1.563472,1.565833,1.506806,1.548611,1.490879,62568000
2009-08-06,1.567917,1.572639,1.500000,1.519583,1.462933,69249600
2009-08-07,1.570139,1.618472,1.544306,1.579861,1.520964,44042400
2009-08-10,1.559444,1.581389,1.538194,1.568889,1.510401,46512000
2009-08-11,1.550694,1.552500,1.500000,1.509167,1.452905,48729600
2009-08-12,1.502917,1.594861,1.502917,1.561667,1.503448,71791200
2009-08-13,1.583333,1.598472,1.537361,1.596944,1.537410,100713600
2009-08-14,1.598194,1.598194,1.508194,1.558750,1.500640,72115200
2009-08-17,1.469583,1.472639,1.435833,1.442917,1.389125,84139200
2009-08-18,1.455694,1.493333,1.446389,1.482500,1.427232,53431200
2009-08-19,1.442917,1.531806,1.440694,1.516528,1.459992,61682400
2009-08-20,1.520278,1.574306,1.513889,1.566111,1.507727,51573600
2009-08-21,1.602639,1.664028,1.594028,1.653611,1.591964,61516800
2009-08-24,1.675694,1.703333,1.638333,1.653333,1.591697,60307200
2009-08-25,1.676111,1.713056,1.655139,1.664306,1.602261,85644000
2009-08-26,1.649861,1.688750,1.634444,1.663889,1.601859,83944800
2009-08-27,1.660694,1.692500,1.607361,1.679306,1.616702,111304800
2009-08-28,1.717639,1.723056,1.641528,1.673333,1.610951,84880800
